name,phase,other_names,country,capacity_mw,status,start_year,operator,owner,lat,lon,location_accuracy,state,gem_location_id,gem_phase_id,source
El Condado solar project III,--,,Spain,10.6,operating,2024.0,,,37.2766,-6.5701,exact,Andalucía,L100001009739,G100001011109,GEM Global Solar Power Tracker Feb-2026
El Condado solar project IV,--,,Spain,2.8,operating,2017.0,,,37.3997,-6.4008,exact,Andalucía,L100001009781,G100001011151,GEM Global Solar Power Tracker Feb-2026
El Condado solar project V,--,,Spain,14.3,operating,2024.0,,,37.3983,-6.4255,exact,Andalucía,L100001009984,G100001011354,GEM Global Solar Power Tracker Feb-2026
El Condado solar project XIII,--,,Spain,6.9,operating,2017.0,,,37.3799,-6.4891,exact,Andalucía,L100001010558,G100001011928,GEM Global Solar Power Tracker Feb-2026
El Condado solar project XIV,--,,Spain,1.4,operating,2017.0,,,37.3733,-6.7498,exact,Andalucía,L100001052870,G100001060664,GEM Global Solar Power Tracker Feb-2026
El Condado solar project XIX,--,,Spain,1.1,operating,2017.0,,,37.3802,-6.5449,exact,Andalucía,L100001053266,G100001061060,GEM Global Solar Power Tracker Feb-2026
El Condado solar project XV,--,,Spain,14.6,operating,2017.0,,,37.1628,-6.5169,exact,Andalucía,L100001052872,G100001060666,GEM Global Solar Power Tracker Feb-2026
El Condado solar project XVI,--,,Spain,16.8,operating,2024.0,,,37.3568,-6.3731,exact,Andalucía,L100001052900,G100001060694,GEM Global Solar Power Tracker Feb-2026
El Condado solar project XVII,--,,Spain,7.3,operating,2017.0,,,37.0911,-6.5467,exact,Andalucía,L100001052923,G100001060717,GEM Global Solar Power Tracker Feb-2026
El Condado solar project XVIII,--,,Spain,6.2,operating,2023.0,,,37.2931,-6.3105,exact,Andalucía,L100001053262,G100001061056,GEM Global Solar Power Tracker Feb-2026
El Condado solar project XX,--,,Spain,1.7,operating,2024.0,,,37.3944,-6.5165,exact,Andalucía,L100001053402,G100001061196,GEM Global Solar Power Tracker Feb-2026
El Condado solar project XXI,--,,Spain,6.3,operating,2024.0,,,37.3796,-6.5286,exact,Andalucía,L100001053450,G100001061244,GEM Global Solar Power Tracker Feb-2026
El Condado solar project XXII,--,,Spain,19.3,operating,2024.0,,,37.3789,-6.5191,exact,Andalucía,L100001053499,G100001061293,GEM Global Solar Power Tracker Feb-2026
